node_id	node_type
E(z)	source
gcm	target
E(z)	source
nej	target
E(z)	source
pho	target
E(z)	source
vtd	target
E(z)	source
w	target
Gycα99B	source
foxo	target
Gycβ100B	source
foxo	target
Gαf	source
hop	target
Gαi	source
ct	target
Gαi	source
pins	target
Gαo	source
Plc21C	target
Gαo	source
pins	target
Gαq	source
Plc21C	target
Gαq	source
ninaE	target
Gαs	source
Bx	target
Gβ5	source
TkR99D	target
Gγ1	source
TkR99D	target
IKKε	source
Dhc64C	target
IKKε	source
Diap1	target
IKKε	source
Dronc	target
IKKε	source
f	target
IKKε	source
par-1	target
IKKε	source
rpr	target
Impβ11	source
tkv	target
Kap-α1	source
Pen	target
Kap-α3	source
Dl	target
Kap-α3	source
N	target
Kap-α3	source
Pen	target
Kap-α3	source
dx	target
Kap-α3	source
sev	target
Kap-α3	source
tutl	target
Liprin-α	source
mr	target
Liprin-α	source
sgg	target
Liprin-α	source
trio	target
Liprin-β	source
trio	target
Mtpβ	source
peb	target
Pp1α-96A	source
Pp1-87B	target
Prosβ2	source
H	target
Prosβ2	source
N	target
Prosβ2	source
vn	target
Prosβ6	source
COX5A	target
Prosβ6	source
H	target
Prosβ6	source
N	target
Prosβ6	source
faf	target
Prosβ6	source
lawc	target
Prosβ6	source
numb	target
Prosβ6	source
rpr	target
Prosβ6	source
vn	target
S(CycE<up>JP</up>)13S1	source
CycE	target
S(CycE<up>JP</up>)1S3	source
CycE	target
S(CycE<up>JP</up>)2.10	source
CycE	target
S(CycE<up>JP</up>)2.13	source
CycE	target
S(CycE<up>JP</up>)2.4	source
CycE	target
S(CycE<up>JP</up>)2.6	source
CycE	target
S(CycE<up>JP</up>)2.7	source
CycE	target
S(CycE<up>JP</up>)2.8	source
CycE	target
S(CycE<up>JP</up>)2.9	source
CycE	target
S(CycE<up>JP</up>)20S1	source
CycE	target
S(CycE<up>JP</up>)3.1	source
CycE	target
S(CycE<up>JP</up>)3.2	source
CycE	target
S(CycE<up>JP</up>)3.3	source
CycE	target
S(CycE<up>JP</up>)3.4	source
CycE	target
S(CycE<up>JP</up>)42S12	source
CycE	target
S(CycE<up>JP</up>)42S33	source
CycE	target
S(CycE<up>JP</up>)43S1	source
CycE	target
S(CycE<up>JP</up>)47S8	source
CycE	target
S(CycE<up>JP</up>)59S18	source
CycE	target
S(CycE<up>JP</up>)59S9	source
CycE	target
S(CycE<up>JP</up>)68S10	source
CycE	target
S(CycE<up>JP</up>)E9S1	source
CycE	target
SNF4Aγ	source
COX5A	target
SNF4Aγ	source
Dcp-1	target
SNF4Aγ	source
Rho1	target
SNF4Aγ	source
lok	target
Scgδ	source
Mad	target
Scgδ	source
Smox	target
Sec61α	source
H	target
Sec61α	source
peb	target
Sec61β	source
Ras85D	target
Sec61β	source
peb	target
Su(E1)-A	source
E2f1	target
Su(E1)-B	source
E2f1	target
Su(E1)-C	source
E2f1	target
Su(E1)-D	source
E2f1	target
Su(E1)-E	source
E2f1	target
Su(E1)-F	source
E2f1	target
Su(E1)-G	source
E2f1	target
Su(E1)-H	source
E2f1	target
Su(E1)-I	source
E2f1	target
Su(E1)-J	source
E2f1	target
Su(E1)-K	source
E2f1	target
Su(E1)-L	source
E2f1	target
Su(E1)-M	source
E2f1	target
Su(E1)-N	source
E2f1	target
Su(E1)-O	source
E2f1	target
Su(H)	source
Cdk9	target
Su(H)	source
DCTN1-p150	target
Su(H)	source
Dl	target
Su(H)	source
H	target
Su(H)	source
H	target
Su(H)	source
N	target
Su(H)	source
N	target
Su(H)	source
Psn	target
Su(H)	source
Src42A	target
Su(H)	source
Tom	target
Su(H)	source
Tom	target
Su(H)	source
aop	target
Su(H)	source
arm	target
Su(H)	source
ci	target
Su(H)	source
dx	target
Su(H)	source
e(y)1	target
Su(H)	source
gcm	target
Su(H)	source
gro	target
Su(H)	source
mam	target
Su(H)	source
mam	target
Su(H)	source
numb	target
Su(H)	source
vn	target
Su(Sxl<up>fs</up>)46	source
Sxl	target
Su(Sxl<up>fs</up>)X2	source
Sxl	target
Su(Tpl)	source
Bx	target
Su(Tpl)	source
N	target
Su(Tpl)	source
Ras85D	target
Su(Tpl)	source
Snr1	target
Su(Tpl)	source
aop	target
Su(Tpl)	source
ct	target
Su(Tpl)	source
lncRNA:roX1	target
Su(da<up>lyh</up>)22C1	source
da	target
Su(da<up>lyh</up>)22C6	source
da	target
Su(da<up>lyh</up>)26E2	source
da	target
Su(da<up>lyh</up>)26H6	source
da	target
Su(dx)	source
Dl	target
Su(dx)	source
H	target
Su(dx)	source
N	target
Su(dx)	source
chb	target
Su(dx)	source
dx	target
Su(dx)	source
dx	target
Su(dx)	source
pyd	target
Su(dx)	source
pyd	target
Su(fu)	source
fu	target
Su(fu)	source
fu	target
Su(fu)	source
ptc	target
Su(fu)	source
ptc	target
Su(fu)	source
sgg	target
Su(ro<up>DOM</up>)1480	source
ro	target
Su(ro<up>DOM</up>)1993	source
ro	target
Su(ro<up>DOM</up>)2014	source
ro	target
Su(ro<up>DOM</up>)3023	source
ro	target
Su(ro<up>DOM</up>)345	source
ro	target
Su(ro<up>DOM</up>)519	source
ro	target
Su(ro<up>DOM</up>)923	source
ro	target
Su(spl)	source
N	target
Su(w<up>a4</up>)	source
w	target
Su(w<up>ch</up>)	source
w	target
X11Lβ	source
X11L	target
dj-1β	source
Pink1	target
dj-1β	source
Pten	target
dj-1β	source
Ret	target
dj-1β	source
foxo	target
e(dpy<up>v</up>)	source
dpy	target
e(fa<up>swb</up>)	source
N	target
e(mr)	source
mr	target
e(r)	source
N	target
e(r)	source
r	target
e(sei)	source
sei	target
e(w<up>e</up>)	source
Ubx	target
e(w<up>e</up>)	source
f	target
e(w<up>e</up>)	source
lz	target
e(w<up>e</up>)	source
w	target
lncRNA:Hsrω	source
Dcp-1	target
lncRNA:Hsrω	source
Diap1	target
lncRNA:Hsrω	source
Dronc	target
lncRNA:Hsrω	source
Iswi	target
lncRNA:Hsrω	source
ap	target
lncRNA:Hsrω	source
nej	target
lncRNA:Hsrω	source
rpr	target
mod(mdg4)	source
Bx	target
mod(mdg4)	source
CTCF	target
mod(mdg4)	source
CTCF	target
mod(mdg4)	source
CycE	target
mod(mdg4)	source
Smox	target
mod(mdg4)	source
Trl	target
mod(mdg4)	source
ap	target
mod(mdg4)	source
ct	target
mod(mdg4)	source
lawc	target
mod(mdg4)	source
lz	target
mod(mdg4)	source
sc	target
mod(mdg4)	source
trx	target
mod(mdg4)	source
trx	target
mod(mdg4)	source
vtd	target
mod(mdg4)	source
y	target
nAChRα3	source
qvr	target
nAChRα4	source
qvr	target
nAChRβ3	source
qvr	target
shg::Rnor_Cd2::α-Cat	source
shg	target
slbo::Rat_C-EBP-α	source
slbo	target
slbo::Rat_C-EBP-δ	source
slbo	target
su(Bar)	source
B	target
su(Hw)	source
B	target
su(Hw)	source
Bx	target
su(Hw)	source
Ubx	target
su(Hw)	source
ap	target
su(Hw)	source
ci	target
su(Hw)	source
ct	target
su(Hw)	source
f	target
su(Hw)	source
lz	target
su(Hw)	source
r	target
su(Hw)	source
sc	target
su(Hw)	source
w	target
su(Hw)	source
y	target
su(N)	source
N	target
su(RpII140<up>Z36</up>)S1	source
RpII140	target
su(RpII140<up>Z36</up>)S10	source
RpII140	target
su(RpII140<up>Z36</up>)S11	source
RpII140	target
su(RpII140<up>Z36</up>)S12	source
RpII140	target
su(RpII140<up>Z36</up>)S13	source
RpII140	target
su(RpII140<up>Z36</up>)S14	source
RpII140	target
su(RpII140<up>Z36</up>)S15	source
RpII140	target
su(RpII140<up>Z36</up>)S16	source
RpII140	target
su(RpII140<up>Z36</up>)S17	source
