pnr	EP1501	enhanceable
ball	baf	suppressible
ct	e(y)2	suppressible
nos	Tao	enhanceable
Pp2B-14D|CanB	Egfr	enhanceable
vn	emc	enhanceable
sens	Dl	enhanceable
shtd	mr	suppressible
Seipin	mino	enhanceable
Psn	so	enhanceable
Pink1	DCP1	suppressible
dnc	Gprk2	suppressible
Tak1	S6k	enhanceable
l(2)gl	Myc	suppressible
Rok	jub	suppressible
pnr	Nab2	enhanceable
rho	vn	enhanceable
jus	para	suppressible
Egfr::tor	sens	suppressible
b	su(b)	suppressible
w	Pcf11	suppressible
nkd	wg	suppressible
dsh	bdg	enhanceable
lok	CG46339	suppressible
para	Cnx99A	enhanceable
Pink1	Ucp4A	suppressible
brat	dpn	suppressible
gbb	sax	suppressible
sd	ebi	enhanceable
wg	dsh	suppressible
Myc	Atg17	suppressible
fu	Su(fu)	enhanceable
fra	Src64B	suppressible
Tm1|osk	E(To)12	enhanceable
Imp	chic	suppressible
ph-p	lolal	suppressible
park	Buffy	enhanceable
CycE	Eb1	suppressible
Antp	Dsp1	suppressible
N	S	enhanceable
N|E(spl)m8-HLH	da	enhanceable
Abl	chb	enhanceable
gro	klu	suppressible
Pi3K68D	14-3-3ζ	suppressible
ttk	lilli	suppressible
Pi3K92E|btl::Egfr	eIF4E1	suppressible
pbl	nemy	enhanceable
Cip4	wit	suppressible
Myb	Dp|E2f1	suppressible
ct	CG17075	suppressible
tld	spz|yeti-MBT	enhanceable
peb	Dl	enhanceable
mi	CycE	suppressible
Pten	Tor	suppressible
pnr	EP2146a	enhanceable
Ras85D|scrib	Nadsyn	suppressible
EcR	let-7	suppressible
rdgA	Gαq	suppressible
dom	M1BP	enhanceable
Raf::tor	rl	suppressible
CycE	S(CycE<up>JP</up>)47S8	suppressible
Pc	eff	enhanceable
Det	hts	suppressible
ro	Su(ro<up>DOM</up>)923	suppressible
p53	Erk7	suppressible
hiw	SkpA	enhanceable
Nf1	Pka-C1	enhanceable
Mkp3	btl	enhanceable
pnt	btd	suppressible
rpr	bsk	suppressible
drl	Wnt5	enhanceable
tkv	Rbf	suppressible
pbl	cdc14	enhanceable
EP639	H	suppressible
Ras85D	cnk	enhanceable
Toll-6	Toll-7	suppressible
aurA	His2Av	suppressible
parvin	Ilk	suppressible
ovo	otu	suppressible
BG02257	foxo	suppressible
Pc	chm	enhanceable
Moe|puc	Rho1	suppressible
cnk	PDZ-GEF	enhanceable
eve	beat-Ia|unc-5	enhanceable
fz	ds	enhanceable
bs	Mrtf	enhanceable
H	insv	enhanceable
Tsc1	S6k	suppressible
sli	Nrt	enhanceable
Vang	pk	enhanceable
Lkb1	Diap1	suppressible
trx	Gug	enhanceable
Ptp52F	Ptp10D	enhanceable
pbl	CycE	suppressible
BicC	tral	enhanceable
pzg	EcR	suppressible
Met	gce	suppressible
osk	aub	suppressible
Rel	sc	enhanceable
yki	BuGZ	suppressible
ninaE	Mekk1	suppressible
Ras85D	SR3-8	suppressible
hid	Egfr	suppressible
Rala	Rlip	enhanceable
nej	Xrp1	enhanceable
Mow	Ufo	suppressible
Ras85D|dlg1	yki	suppressible
ph-p|y	su(Hw)	suppressible
kermit	Cdc42	enhanceable
SERCA|comt	Sh	suppressible
sog	mys	enhanceable
Dref	Dll	enhanceable
Egfr	ast	enhanceable
bw	Mod(Prat:bw)3-10	suppressible
CadN	uzip	enhanceable
Pink1	Trap1	suppressible
Raf	Rac1	suppressible
Nsf2	lola	suppressible
tau	futsch	enhanceable
svp	aop	enhanceable
N	H	suppressible
E2f1	Cdk4|CycD	suppressible
gbb	tkv	enhanceable
Ras85D	Taf8	suppressible
Pc	bur	enhanceable
N	wg	suppressible
Marf	Drp1	suppressible
Prosβ2	HDAC6	suppressible
aop	EY3-2	enhanceable
pyd	tkv	enhanceable
ed	Grip	enhanceable
DAAM	ena	enhanceable
Dsor1	ER3-4	enhanceable
Ubqn	Psn	suppressible
brm|trx	Pcl	suppressible
TAF1B	NO66	suppressible
Dl	CG9650	suppressible
sima	Hph	suppressible
obk	Hsp83	suppressible
DCTN1-p150	EG7	enhanceable
Pink1	sicily	suppressible
z	mxc	suppressible
w	trx	enhanceable
Rab19	sli	suppressible
ZnT86D	ZnT41F	enhanceable
Ras85D	egr	suppressible
H	N	suppressible
pnut	Diap1	enhanceable
Pink1	Tom20	suppressible
pbl	fs(1)h	suppressible
Lim1	Chi	suppressible
N	Dsor1	suppressible
Su(var)205	htt	suppressible
Dronc	Dark	suppressible
pnr	TMEM216	enhanceable
ninaE	Rh4	suppressible
aop	Sos	enhanceable
fzr	faf	suppressible
E2f1	Su(z)2	suppressible
SERCA|comt	Raf	suppressible
w	Rga	suppressible
Egfr	Shc	suppressible
ex	kibra	enhanceable
not	Prosβ6	enhanceable
y	ph-p	enhanceable
HUWE1	Traf6	suppressible
rux	CycA	suppressible
ksr::tor	Lk6	enhanceable
arm	sgg	enhanceable
Shaw	Sh	enhanceable
Pp2B-14D	sty	suppressible
Ras85D	bul	suppressible
Sos	Vav	enhanceable
Egfr	Sos	suppressible
Mmp2	dlp	enhanceable
chico	foxo	enhanceable
ci	Stat92E	suppressible
btl|stumps	Tao	suppressible
Pc	hpo	enhanceable
sens	S(ls)5	suppressible
da	dpn	suppressible
peb	bsk	suppressible
Cdc42	nwk	enhanceable
caz	TER94	suppressible
aos	SM2-1	suppressible
Ctr1A	Grx1	enhanceable
Pink1	Sin1	suppressible
Ras85D	Pka-C1	suppressible
E2f1	Dp	enhanceable
Rbf	p53	suppressible
Dsor1	rl	suppressible
Ilp2	ImpL2	enhanceable
Abd-B	Pc	enhanceable
pbl	GS9605	suppressible
Uvrag	Stat92E	suppressible
Ras85D|sev	phyl	suppressible
hppy	Akt1	enhanceable
Socs44A	hop	enhanceable
Egfr	svp	suppressible
slpr	alph	suppressible
Atg1	bmm	suppressible
E2f1	Su(E1)-G	suppressible
pnr	EP1081	suppressible
y	e(y)2	enhanceable
Sxl	Myc	enhanceable
brk	ban	suppressible
sei	dlg1	suppressible
bib	Dl	suppressible
CycE	phyl	enhanceable
brat	Mad	suppressible
pnr	EP2595	suppressible
Csk	dia	enhanceable
Gug	Tor	enhanceable
spict	gbb	enhanceable
Bsg	mys	suppressible
park	Thor	enhanceable
csw	bs	suppressible
N	ifx	suppressible
CycE	S(CycE<up>JP</up>)3.1	enhanceable
nos	hid	suppressible
hid	Diap1	suppressible
robo1	robo2	suppressible
Ten-a	Ten-m	enhanceable
Ras85D	puc|scrib	enhanceable
Ras85D	Lkb1	suppressible
lz	Bgb	suppressible
DCTN1-p150	Dhc64C	suppressible
ac	h	suppressible
pk	Rho1	suppressible
ey	toy	suppressible
htl	Ntan1	suppressible
Sos	Rho1	suppressible
cher	pbl	suppressible
RhoGAP68F	Rab7	enhanceable
Ret	Pp1-87B	enhanceable
Pten	btl::Egfr	enhanceable
Kr	Mi-2	enhanceable
Rdl	Fas2	enhanceable
let-7|mir-125	ab	suppressible
mi	mir-308	suppressible
Mmp2	Timp	suppressible
sc	E(spl)m8-HLH::h	suppressible
pyd	h	suppressible
Rho1	fra	enhanceable
wrd	sgg	enhanceable
bs	Mer	suppressible
rl	ash2	enhanceable
aos	SM3-3	enhanceable
Rho1	sqh	suppressible
br	Sb	suppressible
ca	w	enhanceable
dom	Tip60	enhanceable
Fas2	Amph	enhanceable
CSN5	CycE	enhanceable
Pc	E(Pc)	suppressible
ap	fng	enhanceable
mei-217	mei-41	suppressible
meru	baz	suppressible
grnd	hep	enhanceable
ro	Su(ro<up>DOM</up>)1480	suppressible
trp	SERCA	suppressible
ninaE	TER94	suppressible
ct	su(Hw)	suppressible
ban	Myc	suppressible
Mical|SelR	Act5C	suppressible
Pvr|hep	kay	suppressible
Ptp69D	Ptp99A	suppressible
N	tal	enhanceable
Su(H)	E(Egfr)B56	enhanceable
Su(Tpl)|lilli	N	suppressible
Ser	Kap-α3	suppressible
Raf|RhoGEF2	Rho1	enhanceable
Nlg1	Nrx-1	suppressible
γTub23C	Grip91	suppressible
H	Atg4b	suppressible
HDAC1	htt	suppressible
Rbf	mir-998	enhanceable
RpL30	Dp	enhanceable
rux	swm	suppressible
Myc	Atg18a	suppressible
h	CtBP	suppressible
faf	pnt	suppressible
Pten	Tsc1|gig	suppressible
Pi3K92E	Pten	suppressible
ro	gro	suppressible
shtd	ida	suppressible
Sdc	dally	suppressible
Atg1	Cpsf160	enhanceable
png	eEF5	suppressible
H	aop	suppressible
bchs	Syx1A	suppressible
su(Hw)|w|z	e(y)1	enhanceable
btl::Egfr|Pi3K92E	Tsc1	enhanceable
r	e(r)	enhanceable
B-H1	Ras85D	enhanceable
cpa|cpb	Zyx	enhanceable
Su(Tpl)|lilli	Dl	suppressible
Bx	caps	suppressible
pho	Spps	enhanceable
N	anon-XII	enhanceable
14-3-3ε	mew	enhanceable
w	su(w<up>a</up>)	suppressible
Ubx	aos	suppressible
Marcal1	z	suppressible
Src42A	Egfr	suppressible
Bx	Chi	suppressible
spin	Mad	enhanceable
Trc8	CSN5	suppressible
grim::rpr	SkpA	suppressible
mam	pum	enhanceable
Rac1|sli	Pak	enhanceable
Tao	yki	suppressible
twf	chic	suppressible
kra	shot	suppressible
let-7	E2f1	enhanceable
Pp2B-14D	CanB	suppressible
wupA	Su(2)E	enhanceable
Axn	cos	suppressible
l(2)gd1	N	enhanceable
kay	jigr1	enhanceable
E(spl)m8-HLH|N	Dl	enhanceable
sna	noc	suppressible
Snr1	aos	enhanceable
wit	Impβ11	enhanceable
Pink1|rictor	Atg1	enhanceable
TER94	Diap1	suppressible
E2f1|Dp	His2Av	suppressible
ct	pds5	enhanceable
Pink1	Drp1	suppressible
ovo	mle	suppressible
Ras85D	Pten	suppressible
Jra	mbl	enhanceable
Dys	l(2)k04222b	suppressible
CycE	E(Sev-CycE)G66	suppressible
egr	PpV	enhanceable
fu	oro	enhanceable
shtd	stg	enhanceable
norpA	ninaE	suppressible
lz	mod(mdg4)	suppressible
Atg1	Atg9	enhanceable
Zip71B	ZnT35C	suppressible
SCAR	Vrp1	enhanceable
E2f1	Su(E1)-B	enhanceable
sstn	Rho1	suppressible
PlexA	Sema1a	suppressible
rdgA	inaD	suppressible
mys	shot	suppressible
Sh	eag	enhanceable
GluRIIA	gsb	suppressible
ssh	RhoGEF2	suppressible
scrt	dpn	suppressible
upd1	mir-14	enhanceable
Smox	CG18473	suppressible
Pten	Pi3K92E	suppressible
mir-92b	Mef2	suppressible
L	puc	suppressible
br	E(br)444	suppressible
Iswi	lncRNA:Hsrω	enhanceable
eIF4E1	pum	suppressible
Vps35	Rab5	suppressible
N	par-1	enhanceable
rad50	tefu	enhanceable
Dl	S	enhanceable
sgg	CRMP	suppressible
L	dco	suppressible
lic	alph	suppressible
faf	Jra	suppressible
Ras85D	Traf4	suppressible
Tis11	Pop2	suppressible
Ret	Mi-2	suppressible
E(spl)mγ-HLH	Su(Tpl)	enhanceable
Apc2|Apc	puc	suppressible
Pink1	Sirt1|foxo	suppressible
Lar	Sdc	suppressible
Appl	APP-BP1	enhanceable
Tsc1|gig	S6k	suppressible
egr	Dark	suppressible
Ppt1	foi	suppressible
ASPP|Csk	Btk29A	enhanceable
Pi3K92E	lilli	suppressible
ftz	E(ftz)5303	suppressible
bonsai	E2f1	enhanceable
icln	Gem3	suppressible
Cln3	Rok	enhanceable
L	nej	suppressible
p53	fzy	enhanceable
h	gro	suppressible
Kr	l(2)04548	suppressible
trx	Pp1-87B	enhanceable
CycE	hh	suppressible
Dfd	nej	enhanceable
smo	E(smoDN)2364	enhanceable
csw	spi	enhanceable
Flo2	Flo1	suppressible
Abd-B	gpp	suppressible
Rheb	Pten	enhanceable
DCTN1-p150	fan	enhanceable
w	B52	suppressible
par-1	Lkb1	enhanceable
Mer	sbb	enhanceable
Mrp4	puc	suppressible
L	hth	enhanceable
Apc|Ras85D	Pten|p53	suppressible
gig	Tsc1	suppressible
Ras85D|scrib	Sec15	suppressible
POSH|egr	Akt1	enhanceable
prel	PEK	suppressible
robo1	Abl	enhanceable
Drp1	Opa1	suppressible
ash1|trx	Asx	enhanceable
aos	ebi	suppressible
para	shi	enhanceable
v	su(sable)	enhanceable
su(Hw)|w	Scm	suppressible
Vav	Sos	suppressible
Zip71B	Zip48C	enhanceable
sl	Egfr	enhanceable
smo	pav	enhanceable
hoip	Tm2	suppressible
Mer	E(Mer)IIIa	enhanceable
awd	btl	suppressible
nerfin-1	Su(H)	enhanceable
Myc	vito	enhanceable
polybromo	Su(var)3-3	suppressible
upd3	Ras85D	suppressible
N	RpL19	enhanceable
Ras85D|scrib	cher	suppressible
mio	mei-W68	enhanceable
dpp|lolal	sax	suppressible
spn-B	mei-41	suppressible
ZnT86D	ZnT63C	suppressible
Vap33	Sod1	suppressible
tor	Ras85D	enhanceable
Lis-1	tkv	suppressible
p130CAS	mys	suppressible
Hrs	lilli	suppressible
Eogt|Dcr-2	dpy	suppressible
Rac1|DAAM	Rac2	suppressible
sc	mod(mdg4)	enhanceable
caz	Xrp1	enhanceable
kn	Rac1	suppressible
Atg16	robo2	suppressible
N	Pink1|Myc	enhanceable
pbl	flfl	suppressible
nej	E(z)	suppressible
Marf	Fatp1	suppressible
grn	zfh1	suppressible
robo2	Ptp69D	suppressible
vtd	Tor	suppressible
ci	en	suppressible
Rheb	Sin1	suppressible
flw	sqh	enhanceable
raw	zip	suppressible
egr	bsk	suppressible
DAAM	Wnt5	suppressible
bw	SMC5	suppressible
Ras85D|scrib	egr	enhanceable
Cerk	bwa	suppressible
Ras85D	EM3-1	suppressible
dco	fz	suppressible
dlg1	egr	enhanceable
N	sd	enhanceable
slpr	hep	suppressible
Dcp-1	br	suppressible
rpr	GlcT	suppressible
y	mod(mdg4)	enhanceable
Wdr24	Tsc1	suppressible
upd1	Cip4	enhanceable
KLHL18	Cul3	suppressible
Rala	lqf	suppressible
aos	Diap2	enhanceable
pbl	apt	suppressible
N	fng	suppressible
Ubx|su(Hw)	Nipped-B	suppressible
w	mw	enhanceable
tup	sc	enhanceable
Psn	Dl	enhanceable
hop	Raf	suppressible
hh	snama	enhanceable
dgo	bdg	suppressible
ft	Dlish	enhanceable
z	Sam-S	enhanceable
E(z)	osa	suppressible
E(z)	aurA	suppressible
Vap33	fwd	enhanceable
ft	Raf	enhanceable
Pp2B-14D	Galk	suppressible
CycE	Trl	enhanceable
tkv	hep	suppressible
park	Sod2	suppressible
RanGAP	aub	enhanceable
slo	dlg1	suppressible
dome	Su(var)2-10	enhanceable
Strip	TBCD	suppressible
hid	ban	suppressible
norpA	Osi21	enhanceable
Rga	htt	suppressible
dpp	shn	suppressible
wg	slp1	enhanceable
N	fj	suppressible
Mitf	Cp1	suppressible
sky	dor	suppressible
Myc	ash2	suppressible
N	p53	suppressible
Lrrk	Rab9	suppressible
S6k	Akt1	enhanceable
Myc	lid	suppressible
arm	eRF1	suppressible
trio	Vav	enhanceable
qvr	nAChRα3	suppressible
sl	Itp-r83A	enhanceable
eas	ATPCL	suppressible
sev	Dab	enhanceable
hid	Dark	suppressible
wupA	Ras85D|l(2)gl	suppressible
Pi3K92E	lep	suppressible
ftz	E(ftz)4038	enhanceable
tor	Su(tor)3-1	enhanceable
Ctr1A	Ctr1B	enhanceable
E2f1	Pc	suppressible
Ubx	Abd-B	enhanceable
mir-305	InR	enhanceable
pyd	ena	suppressible
Cbl	Dap160	suppressible
Myc	pont	suppressible
cnk	aop	enhanceable
Atg9	Tsc1|gig	enhanceable
crb	kst	enhanceable
lush	Or67d	suppressible
kek6	Vap33	suppressible
dlg1	vg	enhanceable
Rdl|eve	Fas2	suppressible
DAAM	Rac1	suppressible
l(3)mbt	pum	suppressible
gcm	fru	enhanceable
Bx	ap	enhanceable
LIMK1	ssh	suppressible
sl	rho	enhanceable
mew	blo	enhanceable
egr	Mkk4	suppressible
aos	SM3-8	enhanceable
pbl	Mob2	enhanceable
RpII215|lncRNA:roX1	msl-1|msl-2	suppressible
Vhl	bnl	suppressible
Diap1|hid	Dark	suppressible
ksr::tor	Ras85D	suppressible
EcR	Mical	suppressible
Dcr-2|Eogt	N	suppressible
E(z)	Su(var)2-1	enhanceable
Alg3	egr	suppressible
Drak	Sb	enhanceable
capt	Khc	suppressible
mir-8	Nrg	suppressible
Wnt5	Rac1	enhanceable
Apc2	ApepP	enhanceable
Pc	tna	enhanceable
Hmgcr	Mdr49	suppressible
aPKC	numb	suppressible
grim	Nct	enhanceable
Ras85D	ER3-2	suppressible
upd1	jim	suppressible
parvin	Chd64	suppressible
wg	sc	suppressible
shg	ct	enhanceable
svp	TfIIA-S	enhanceable
nkd	dsh	enhanceable
rux	stg	suppressible
Dp|E2f1	pnt	suppressible
Bx	l(3)mbn	suppressible
HP1b	htt	enhanceable
flw	Rho1	suppressible
Gli	bsk	enhanceable
Dys	lace	enhanceable
trio	Rac1	enhanceable
hop	ecd	suppressible
crb	Rho1	suppressible
da	da::Drer_tcf3a	suppressible
Src64B	bsk	suppressible
DCTN2-p50	Khc	enhanceable
kermit	Khc	suppressible
Ube3a	Pu	suppressible
sev	Sos	suppressible
Rich	CadN	suppressible
ct	mod(mdg4)	enhanceable
l(2)gd1	vg	enhanceable
Axn	nmo	enhanceable
robo1	Gαq	suppressible
sev	rin	enhanceable
sev	Cdc37	suppressible
rpr	Drice	suppressible
Pten	foxo	suppressible
Nmnat	Ect4|axed	enhanceable
Hem	WASp	suppressible
kay	jing	enhanceable
ZnT86D	Zip71B	suppressible
rho	ru	enhanceable
trx	mod(mdg4)	suppressible
nesd	pav	suppressible
fz2	fz	suppressible
Ret	hh	suppressible
eas	Top1	suppressible
w	Low	enhanceable
clu	park	enhanceable
EP3617	CycE	enhanceable
B	oro	enhanceable
anchor	tkv	suppressible
eIF4E1	Lrrk	suppressible
Gαo	fz	enhanceable
hep	chm	suppressible
gbb	cv-2	suppressible
Egfr	E(Egfr)C22	enhanceable
hiw	p38a	suppressible
Raf	Su(phl)4	enhanceable
mtm	Rab11	suppressible
ash1|trx	dom	suppressible
Dref	eIF4A	enhanceable
Caf1-105	eyg	suppressible
Syx1A	Vha100-1	suppressible
pins	mgr	enhanceable
wg	Ras85D	suppressible
btl|stumps	EP595b	suppressible
Src42A	Src64B	suppressible
l(3)a	l(3)ac	suppressible
Scox	p53	suppressible
ct	z	enhanceable
N	Hsc70-4	suppressible
Su(H)	Cdk9	suppressible
heph	TBPH	suppressible
ZnT35C	Zip71B	suppressible
E2f1	kis	enhanceable
dup	pim	enhanceable
N	lola	suppressible
Rbf	hid	suppressible
ey	hh	suppressible
dpp	vri	suppressible
dom	CG7745	enhanceable
Pink1	Pgam5	enhanceable
ct	CG5390	suppressible
Cln3	CG5044	suppressible
vn	Madm	suppressible
baz	Roc2	suppressible
rpr	hep	suppressible
Tm1|osk	E(To)13	enhanceable
Smn	eIF3m	enhanceable
E2f1	tara	suppressible
boi	smo	enhanceable
Dl	N	enhanceable
mys	bs	suppressible
Scgδ	Smox	enhanceable
βTub60D::βTub85D	βTub85D	suppressible
bnl	hb	enhanceable
spz|NT1	spz5	suppressible
Nab2	Fmr1	suppressible
Rac2	CycE	enhanceable
z	E(z)	suppressible
S	sty	suppressible
N	dx	enhanceable
HipHop	ms(3)K81	suppressible
Rac1	fra	suppressible
mod(mdg4)	su(Hw)	enhanceable
Egfr	eRF1	enhanceable
ncd	γTub37C	suppressible
ksr::tor	Sos	suppressible
Fak	mys	suppressible
Rac1	trc	enhanceable
ebd1	upd3	suppressible
Dl|mir-7	ci	suppressible
Dronc	Usp7	enhanceable
Ras85D|scrib	Atg13|Atg14	suppressible
rpr	Dronc	suppressible
tor	Stat92E	enhanceable
w	E(w<up>a</up>)	enhanceable
Fmr1	mGluR	enhanceable
Sin3A	shg	suppressible
eya	so	suppressible
sc	Sxl	suppressible
Taz	iPLA2-VIA	enhanceable
for|foxo	Lrrk	suppressible
nmo	Dl	suppressible
Smn	btl	suppressible
Pak	kst	enhanceable
fu	ci	enhanceable
emc	N	enhanceable
ZnT86D	Catsup	enhanceable
TBPH	mir-9a	suppressible
fzr	CG15765	suppressible
sens	Pc	suppressible
Lpt	Utx	enhanceable
H	Hr4	suppressible
Pi3K92E|btl::Egfr	Max	enhanceable
yki	brm	suppressible
ast	E(S)	suppressible
ds	dsh	enhanceable
fz	pk	enhanceable
Myc	Keap1	enhanceable
beat-Ia	unc-5	suppressible
hh	dally	suppressible
hep	puc	enhanceable
upd1	dome	suppressible
ptc	tow	suppressible
Su(fu)	fu	enhanceable
Uvrag	Atg14	enhanceable
lt	E(Pc)|Su(var)208	enhanceable
Mbs	sqh	enhanceable
Vap33	Tor	suppressible
bw	Mod(Prat:bw)2-1	enhanceable
Sh	qvr	suppressible
CycE	ft	enhanceable
br	E(br)24	suppressible
Wnt5	uzip	enhanceable
Dcr-1	Myc	enhanceable
shg	AGO1	suppressible
w	Spps	enhanceable
Pc	urd	enhanceable
Eph	Reph	suppressible
sNPF-R	CrebB	suppressible
crb	yrt	enhanceable
dom	XNP	suppressible
Egfr	Acn	enhanceable
Rheb	nclb	enhanceable
dsh	bsk	suppressible
serp	verm	suppressible
gro	Hipk	suppressible
Zip71B	Zip102B	suppressible
sl	S	enhanceable
cindr	Vav	suppressible
Dg	Sdc	suppressible
AdamTS-B	Krn|vn	enhanceable
CycE	Pi3K92E	suppressible
CycE	Abl	suppressible
robo1	fra::robo1	suppressible
Ge-1	btz	enhanceable
caps	Kr	suppressible
dx	Hip1	suppressible
GluRIIA	TBPH	suppressible
Ppt1	kay	enhanceable
brm|trx	Asx	enhanceable
pnr	Orct2	suppressible
PlexA	SelR	suppressible
N	pygo	suppressible
grp	lok	suppressible
mrt	E(bx)	enhanceable
tor	Shc	enhanceable
N	sng	enhanceable
dsh	aop	suppressible
Sce	Psc	suppressible
COX5A	Prosβ6	enhanceable
Su(var)3-3	Su(H)	suppressible
mir-8	ena	suppressible
Sce	gpp	suppressible
mbl	Hsp70Ab	suppressible
Tsc1|gig	Doa	suppressible
hh	ptc	suppressible
Egfr	RasGAP1	suppressible
CycE	S(CycE<up>JP</up>)3.2	suppressible
Nsf2	CG1888	enhanceable
sav	Herc4	suppressible
Ras85D::Src64B	aop	suppressible
Pink1	Mcad	suppressible
H	bsk	enhanceable
